user ID,used buses,used transfer points,waiting time,ride time
0,"[14, 19]","[16, 0, 8]",12.4,21.897
1,[29],"[12, 13]",2.0,2.769
2,[19],"[11, 12]",2.0,5.709
3,"[24, 18]","[20, 4, 6]",6.3,19.955
4,[24],"[4, 19]",2.0,9.237
5,"[18, 19]","[2, 3, 8]",4.0,7.615
6,"[18, 19]","[5, 3, 9]",4.0,13.53
7,"[14, 18]","[15, 4, 6]",4.0,12.298
8,[18],"[6, 5]",2.0,0.692
9,"[29, 18]","[12, 3, 6]",21.8,26.05
10,[29],"[8, 7]",2.0,10.946
11,"[14, 18, 29]","[18, 0, 3, 9]",8.6,38.884
12,"[24, 18]","[18, 4, 0]",6.0,21.776
13,[14],"[14, 19]",8.1,17.781
14,[29],"[11, 0]",19.2,21.331
15,[24],"[20, 4]",2.0,13.915
16,"[19, 28]","[8, 3, 6]",10.6,13.53
17,"[28, 19]","[1, 3, 11]",6.0,18.0
18,[14],"[16, 14]",2.0,4.433
19,"[19, 24]","[12, 0, 16]",4.0,32.924
20,"[28, 29]","[1, 3, 12]",6.0,23.615
21,"[18, 19]","[2, 0, 8]",7.2,20.596
22,"[14, 18]","[16, 4, 3]",9.3,7.19
23,"[14, 28]","[16, 4, 6]",4.0,9.643
24,[28],"[6, 2]",10.7,13.324
25,"[28, 14]","[1, 0, 15]",4.0,15.231
26,[14],"[14, 17]",17.0,14.854
27,"[14, 29]","[18, 0, 11]",8.0,41.073
28,[24],"[4, 18]",2.0,9.0
29,"[19, 24]","[13, 0, 17]",8.0,44.257
30,[14],"[15, 17]",2.0,11.27
31,"[18, 14]","[2, 4, 14]",20.3,14.817
32,"[28, 14]","[5, 4, 14]",11.6,13.87
33,"[18, 14]","[2, 4, 15]",20.8,13.306
34,"[14, 18]","[15, 4, 2]",13.8,13.42
35,[14],"[4, 16]",2.0,3.728
36,"[14, 28, 29]","[20, 4, 3, 9]",19.9,24.992
37,"[18, 24]","[6, 4, 19]",4.0,15.152
38,"[24, 18, 29]","[18, 4, 3, 8]",26.4,16.615
39,"[29, 28, 14]","[8, 3, 4, 17]",23.1,12.511
