user ID,used buses,used transfer points,waiting time,ride time
0,"[14, 18, 19]","[17, 0, 3, 11]",8.0,37.331
1,"[18, 14]","[1, 4, 18]",11.8,19.491
2,"[18, 19]","[6, 3, 12]",18.2,26.649
3,"[24, 28, 29]","[18, 4, 3, 13]",20.7,31.904
4,[24],"[15, 18]",12.2,15.497
5,"[29, 28]","[11, 3, 2]",14.9,14.538
6,[24],"[14, 18]",2.0,15.983
7,"[19, 18]","[13, 3, 2]",5.4,20.135
8,"[18, 24]","[2, 4, 16]",14.5,10.651
9,"[19, 18]","[9, 3, 0]",19.3,16.929
10,[19],"[11, 3]",12.2,12.07
11,"[24, 18, 19]","[18, 4, 3, 13]",28.8,29.709
12,"[28, 14]","[5, 4, 19]",6.0,15.597
13,[18],"[2, 6]",14.0,10.069
14,"[14, 28]","[19, 4, 1]",24.8,19.621
15,"[24, 28]","[20, 4, 3]",4.0,17.377
16,[24],"[14, 0]",2.0,5.538
17,"[29, 18]","[9, 3, 5]",4.0,13.53
18,-,-,-,-
19,[28],"[4, 3]",2.0,3.462
20,[24],"[20, 4]",16.5,14.04
21,[24],"[17, 15]",4.0,11.278
22,"[29, 28, 24]","[9, 3, 4, 18]",17.5,20.077
23,"[18, 24]","[6, 4, 15]",13.3,12.784
24,[24],"[0, 19]",4.0,21.347
25,[19],"[7, 3]",2.0,7.128
26,"[29, 28]","[13, 0, 1]",15.9,33.493
27,"[24, 28, 29]","[16, 4, 3, 13]",26.5,24.647
28,"[14, 18]","[20, 4, 0]",6.0,26.242
29,[14],"[16, 18]",8.4,12.835
30,"[18, 29]","[4, 3, 7]",21.6,10.589
31,"[14, 28, 29]","[14, 4, 3, 11]",14.2,22.432
32,[29],"[13, 11]",2.0,5.709
33,"[29, 28, 24]","[13, 3, 4, 18]",21.3,31.904
34,"[18, 29]","[0, 3, 11]",15.6,24.903
35,"[28, 14]","[1, 4, 17]",17.5,15.28
36,"[14, 18]","[17, 4, 0]",4.0,17.006
37,"[19, 28, 24]","[9, 3, 4, 15]",26.7,17.46
38,[18],"[5, 4]",2.0,5.709
39,[18],"[1, 5]",4.0,12.838
40,"[19, 18, 14]","[11, 3, 4, 18]",23.5,23.538
41,[19],"[3, 13]",4.0,16.786
42,"[28, 19]","[1, 3, 11]",23.5,18.0
43,[19],"[7, 12]",2.0,22.94
44,"[29, 28, 24]","[12, 3, 4, 20]",30.2,34.05
45,[14],"[19, 17]",2.0,4.992
46,"[24, 28, 29]","[15, 4, 3, 8]",14.4,13.998
47,"[28, 19]","[6, 3, 9]",22.8,13.324
48,"[28, 14]","[0, 4, 19]",6.0,25.852
49,"[18, 19]","[6, 3, 7]",7.1,12.837
50,[14],"[14, 0]",2.0,5.538
51,[19],"[13, 10]",2.0,7.456
52,"[28, 29]","[4, 3, 13]",14.8,20.781
53,[28],"[1, 2]",2.0,3.462
54,"[28, 14]","[2, 4, 16]",8.9,10.651
55,"[29, 18]","[7, 3, 4]",4.0,10.589
56,"[14, 28, 19]","[18, 4, 3, 12]",29.3,29.241
57,"[24, 18, 19]","[19, 4, 3, 11]",27.5,23.775
58,[29],"[8, 10]",2.0,5.709
59,"[24, 18, 19]","[15, 4, 0, 12]",10.5,44.895
60,"[19, 28]","[10, 3, 0]",18.7,19.426
61,-,-,-,-
62,"[14, 28]","[20, 4, 3]",24.1,17.377
63,"[28, 19]","[2, 3, 7]",19.8,10.589
64,"[18, 19]","[6, 3, 8]",10.4,9.863
65,"[19, 18]","[13, 3, 5]",19.2,22.588
66,[24],"[4, 18]",2.0,9.0
67,"[29, 18, 14]","[9, 3, 0, 14]",17.7,22.468
68,"[28, 24]","[1, 4, 17]",10.1,15.28
69,"[19, 28]","[9, 3, 1]",20.6,14.538
70,[18],"[4, 6]",2.0,5.915
71,"[14, 18]","[15, 4, 3]",21.3,9.844
72,[24],"[19, 17]",2.0,4.992
73,[18],"[3, 6]",4.0,6.607
74,[14],"[16, 15]",2.0,2.769
75,"[29, 18, 14]","[7, 3, 4, 17]",26.1,15.485
76,"[29, 28, 14]","[11, 3, 4, 20]",24.4,28.454
77,"[28, 29]","[5, 3, 0]",18.8,16.504
78,"[19, 28, 24]","[10, 3, 4, 20]",24.3,27.384
79,"[18, 29]","[6, 3, 12]",25.5,22.382
80,"[24, 18, 19]","[19, 4, 3, 9]",10.3,20.965
81,[24],"[15, 16]",2.0,2.769
82,"[18, 19]","[5, 3, 10]",6.0,18.961
83,[28],"[2, 3]",2.0,3.462
84,"[29, 18, 14]","[12, 3, 0, 14]",24.4,31.574
85,[19],"[0, 7]",2.0,3.462
86,"[28, 29]","[4, 3, 10]",12.8,13.324
87,[14],"[19, 15]",8.0,17.566
88,-,-,-,-
89,"[14, 28, 19]","[17, 4, 3, 12]",27.3,25.03
90,"[28, 29]","[4, 3, 8]",4.0,7.615
91,"[29, 28]","[7, 0, 5]",9.7,25.786
92,[14],"[17, 19]",2.0,4.992
93,"[18, 19]","[2, 3, 0]",9.6,14.051
94,"[29, 28, 14]","[12, 3, 4, 17]",28.6,25.03
95,"[19, 18, 24]","[7, 3, 4, 19]",10.9,19.826
96,"[14, 28]","[20, 4, 2]",8.4,21.055
97,[29],"[3, 10]",2.0,9.791
98,[18],"[2, 3]",2.0,3.462
99,"[28, 14]","[1, 4, 16]",6.0,14.113
