user ID,used buses,used transfer points,waiting time,ride time
0,[30],"[0, 17]",2.0,8.51
1,[14],"[24, 13]",2.0,7.03
2,"[20, 30]","[13, 0, 16]",4.0,17.615
3,[14],"[24, 13]",2.0,7.03
4,"[10, 20, 14]","[7, 8, 13, 23]",28.9,35.271
5,[30],"[21, 18]",4.0,9.231
6,[30],"[15, 19]",2.0,11.566
7,"[10, 20]","[7, 8, 10]",4.0,15.703
8,"[10, 21]","[5, 4, 2]",23.3,18.462
9,"[21, 30]","[4, 0, 18]",22.9,37.753
10,[14],"[24, 23]",2.0,3.916
11,-,-,-,-
12,"[14, 20, 10]","[25, 13, 8, 5]",6.0,34.091
13,"[20, 30]","[12, 0, 16]",17.3,24.335
14,"[10, 20, 14, 30]","[7, 8, 13, 21, 19]",34.4,47.508
15,"[30, 21, 10]","[15, 0, 4, 7]",6.0,39.917
16,"[30, 20]","[21, 0, 4]",4.0,46.154
17,"[14, 30]","[22, 21, 17]",4.0,18.462
18,"[30, 21]","[18, 0, 4]",13.5,37.56
19,[20],"[8, 12]",2.0,16.513
