user ID,used buses,used transfer points,waiting time,ride time
0,"[20, 14]","[9, 13, 22]",4.0,22.32
1,"[14, 30]","[25, 21, 18]",9.0,22.055
2,"[30, 14, 20]","[19, 21, 13, 14]",6.0,23.876
3,"[30, 21]","[19, 0, 4]",24.7,40.054
4,[20],"[12, 4]",2.0,15.774
5,"[30, 20]","[17, 0, 14]",4.0,16.451
6,"[20, 21, 30]","[10, 4, 0, 16]",6.0,38.366
7,[21],"[1, 3]",2.0,11.077
8,"[10, 20, 14]","[7, 4, 13, 22]",24.5,43.952
9,"[30, 20]","[16, 0, 9]",4.0,25.934
10,"[14, 20]","[21, 13, 0]",4.0,24.876
11,[10],"[4, 8]",2.0,12.923
12,"[14, 30]","[22, 21, 18]",19.0,14.769
13,"[21, 30]","[1, 0, 18]",16.0,17.758
14,"[10, 20]","[7, 4, 10]",6.7,17.064
15,"[10, 21]","[8, 4, 2]",4.0,27.692
16,"[30, 21]","[15, 0, 3]",6.0,19.726
17,"[30, 21]","[15, 0, 2]",4.0,14.187
18,"[30, 21]","[17, 0, 1]",19.8,18.192
19,"[10, 20, 14]","[5, 8, 13, 21]",26.1,44.895
