user ID,used buses,used transfer points,waiting time,ride time
0,-,-,-,-
1,-,-,-,-
2,"[30, 14]","[17, 21, 13]",11.3,28.666
3,"[21, 30]","[3, 0, 17]",24.3,25.355
4,"[10, 20]","[5, 4, 11]",23.1,14.497
5,"[14, 20]","[25, 13, 11]",17.1,14.595
6,[14],"[13, 23]",2.0,6.656
7,-,-,-,-
8,"[30, 14]","[18, 21, 13]",13.6,22.953
9,-,-,-,-
10,[30],"[21, 16]",4.0,14.972
11,"[10, 21]","[6, 4, 0]",25.1,35.678
12,[20],"[12, 14]",4.0,10.412
13,"[20, 14]","[12, 13, 25]",9.1,9.639
14,[10],"[7, 6]",2.0,2.769
15,[20],"[14, 10]",2.0,16.615
16,"[30, 21]","[19, 0, 3]",25.1,31.816
17,-,-,-,-
18,-,-,-,-
19,"[20, 30]","[11, 0, 15]",18.5,26.093
20,[20],"[12, 14]",4.0,10.412
21,"[14, 20]","[25, 13, 0]",6.0,14.552
22,"[30, 21]","[15, 0, 1]",5.8,8.961
23,[30],"[15, 19]",4.0,13.118
24,[30],"[0, 19]",2.0,14.06
25,[20],"[11, 13]",17.0,11.691
26,"[21, 20]","[2, 0, 12]",26.2,25.264
27,-,-,-,-
28,[30],"[19, 21]",2.0,6.462
29,[20],"[11, 14]",7.8,15.383
