number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,08:17:04,[],[]
2,18,08:35:30,08:37:30,['9'],[]
3,17,08:41:43,08:43:43,['48'],[]
4,15,08:54:59,08:56:59,['27'],[]
5,0,09:05:59,09:09:54,['52'],"['27', '9', '48']"
6,14,09:15:26,09:17:26,[],['52']
7,18,09:33:25,09:41:50,['64'],[]
8,0,10:00:16,10:02:16,[],['64']
9,20,10:24:16,10:37:00,['63'],[]
10,4,10:50:55,10:52:55,[],['63']
11,16,10:56:39,11:18:27,['25'],[]
12,0,11:27:52,11:31:54,['32'],['25']
13,14,11:37:26,11:39:26,['18'],[]
14,4,11:47:20,11:59:34,['65'],[]
15,19,12:08:48,12:10:48,[],"['18', '32']"
16,20,12:15:42,12:17:42,[],['65']
17,16,12:35:00,12:37:00,['35'],[]
18,14,12:41:26,12:43:26,['13'],[]
19,0,12:48:58,12:50:58,['2'],"['13', '35']"
20,4,13:03:05,13:34:38,['3'],['2']
21,20,13:48:33,13:50:33,[],['3']
22,15,14:10:38,14:15:05,['50'],[]
23,4,14:21:28,14:23:28,"['55', '22']",['50']
24,17,14:28:22,14:30:22,[],['22']
25,20,14:39:36,14:56:49,[],['55']
26,0,15:18:49,19:00:00,[],[]
