user ID,used buses,used transfer points,waiting time,ride time
0,"[4, 8]","[17, 4, 6]",14.3,10.81
1,[92],"[24, 23]",2.0,5.538
2,"[4, 8, 92]","[17, 4, 0, 23]",8.1,32.386
3,[4],"[0, 16]",2.0,9.416
4,"[4, 8, 92]","[17, 4, 0, 22]",25.3,28.856
5,"[8, 9, 64]","[1, 3, 13, 27]",23.9,28.549
6,-,-,-,-
7,"[64, 92, 8, 4]","[26, 24, 0, 4, 17]",21.0,41.492
8,[9],"[11, 8]",2.0,6.923
9,"[4, 8]","[17, 4, 5]",10.4,10.604
10,"[64, 92]","[26, 24, 21]",9.0,15.923
11,"[8, 92, 64]","[5, 0, 24, 25]",18.4,40.139
12,"[4, 8]","[14, 0, 3]",14.6,18.692
13,"[4, 8, 9]","[18, 4, 3, 10]",28.0,22.252
14,"[64, 92, 8]","[12, 24, 0, 1]",18.1,31.14
15,"[92, 8]","[21, 0, 6]",16.7,26.589
16,-,-,-,-
17,[9],"[3, 10]",2.0,9.791
18,"[8, 4]","[2, 0, 15]",16.7,16.128
19,-,-,-,-
20,[9],"[8, 9]",2.0,3.462
21,"[92, 64]","[22, 24, 25]",22.6,13.222
22,"[92, 8, 9]","[23, 0, 3, 9]",16.5,32.416
23,"[9, 64]","[11, 13, 27]",12.6,10.087
24,"[92, 64, 9]","[21, 24, 13, 9]",19.1,28.135
25,"[4, 8]","[14, 4, 6]",8.5,15.759
26,[4],"[14, 20]",2.0,20.373
27,"[8, 4]","[2, 4, 20]",25.0,20.838
28,"[4, 9]","[14, 0, 10]",25.5,22.397
29,"[9, 8, 4]","[13, 3, 4, 16]",28.1,23.976
