number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,08:00:36,[],[]
2,6,08:15:00,08:17:00,['16'],[]
3,3,08:22:43,08:55:37,"['1', '44']",['16']
4,1,09:02:32,09:12:42,[],"['1', '44']"
5,3,09:19:37,09:41:37,"['27', '6']",[]
6,5,09:47:32,09:55:08,[],['6']
7,6,09:55:50,10:02:38,"['5', '38']",['27']
8,2,10:10:00,10:12:00,"['25', '33']",[]
9,1,10:15:28,10:17:28,[],['33']
10,0,10:23:42,10:25:42,['45'],"['25', '5', '38']"
11,3,10:35:01,10:37:01,[],['45']
12,5,10:42:56,10:44:56,"['31', '4']",[]
13,2,10:52:46,10:54:46,[],['31']
14,0,11:01:54,11:03:54,['10'],['4']
15,3,11:13:13,11:15:13,['35'],['10']
16,1,11:22:08,11:24:08,[],['35']
17,0,11:30:22,19:00:00,[],[]
