number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,07:46:30,[],[]
2,12,08:10:00,08:12:00,['64'],[]
3,10,08:18:55,08:20:55,['63'],['64']
4,9,08:23:25,08:25:25,"['29', '85']",[]
5,3,08:33:02,08:35:02,[],"['29', '63']"
6,7,08:42:10,08:44:10,[],['85']
7,0,08:47:38,08:49:38,['59'],[]
8,7,08:53:06,09:02:00,['81'],[]
9,3,09:09:08,09:16:30,['45'],[]
10,9,09:24:07,09:26:07,[],"['59', '45']"
11,10,09:28:37,09:30:37,[],['81']
12,9,09:33:07,09:37:00,"['74', '80']",[]
13,8,09:40:28,09:47:00,['26'],[]
14,3,09:51:09,10:04:43,['38'],"['26', '74', '80']"
15,10,10:14:30,10:20:41,['14'],['38']
16,3,10:30:28,10:32:28,"['57', '44']",['14']
17,8,10:36:37,10:46:32,[],"['44', '57']"
18,9,10:50:00,10:52:00,['49'],[]
19,3,10:59:37,11:01:37,[],['49']
20,13,11:18:17,11:22:00,['77'],[]
21,12,11:24:46,11:26:46,[],['77']
22,13,11:29:32,11:47:00,"['66', '72']",[]
23,11,11:52:43,11:54:43,[],['72']
24,12,12:00:26,12:05:08,"['12', '76']",[]
25,10,12:12:03,12:14:03,['21'],[]
26,3,12:23:50,12:25:50,[],"['66', '12', '76']"
27,7,12:32:58,12:57:00,"['1', '88']",['21']
28,3,13:04:08,13:09:55,['70'],"['1', '88']"
29,0,13:19:14,13:21:14,['55'],['70']
30,7,13:24:42,13:26:42,['11'],[]
31,3,13:33:50,13:45:39,"['41', '83']",['11']
32,9,13:53:16,13:55:16,[],"['41', '83']"
33,11,13:58:44,14:01:52,[],['55']
34,8,14:08:47,14:10:47,['46'],[]
35,3,14:14:56,14:18:09,[],['46']
36,0,14:27:28,19:00:00,[],[]
