user ID,used buses,used transfer points,waiting time,ride time
0,[14],"[18, 20]",2.0,5.04
1,"[19, 28, 24]","[7, 3, 0, 16]",9.2,25.858
2,[24],"[19, 0]",2.0,17.349
3,[28],"[3, 1]",2.0,6.923
4,"[24, 18]","[14, 4, 5]",20.9,15.553
5,"[19, 18, 24]","[8, 3, 4, 19]",25.9,17.503
6,[28],"[0, 3]",2.0,9.314
7,"[28, 24]","[5, 4, 18]",6.2,14.709
8,[29],"[11, 12]",2.0,5.709
9,"[18, 24]","[1, 4, 17]",10.2,15.28
10,"[18, 19]","[6, 3, 13]",7.6,22.43
11,[19],"[10, 13]",14.5,9.692
12,"[24, 29]","[4, 0, 12]",6.0,36.46
13,[14],"[17, 0]",16.1,20.393
14,"[19, 18, 24]","[9, 3, 4, 15]",23.0,17.574
15,"[14, 18, 19]","[19, 4, 3, 9]",24.5,20.313
16,"[24, 18, 29]","[17, 4, 3, 10]",26.9,18.148
17,"[14, 28, 19]","[15, 0, 3, 7]",9.4,25.442
18,"[18, 24]","[3, 4, 17]",7.1,8.357
19,"[18, 24]","[1, 4, 18]",22.3,19.385
20,[19],"[9, 13]",2.0,9.106
21,"[24, 18]","[15, 4, 5]",18.9,12.092
22,"[19, 18]","[13, 3, 6]",10.0,26.649
23,[29],"[13, 11]",2.0,5.709
24,"[19, 18, 14]","[11, 3, 4, 14]",27.4,22.7
25,[19],"[11, 13]",2.0,5.709
26,[19],"[10, 11]",2.0,1.958
27,"[24, 18]","[15, 4, 6]",21.7,12.899
28,[19],"[8, 10]",2.0,5.709
29,"[14, 18]","[16, 4, 6]",20.7,10.129
30,"[19, 28, 24]","[10, 3, 4, 16]",26.6,16.98
31,"[19, 18, 14]","[12, 3, 4, 20]",30.0,34.287
32,[29],"[3, 8]",2.0,4.154
33,[19],"[0, 9]",4.0,16.929
34,"[24, 18, 29]","[17, 4, 3, 9]",26.3,15.972
35,-,-,-,-
36,[24],"[0, 20]",8.0,27.276
37,-,-,-,-
38,"[28, 29]","[1, 3, 0]",4.0,16.237
39,"[19, 18, 24]","[11, 3, 4, 16]",23.0,18.267
40,"[14, 18]","[16, 4, 3]",4.0,7.19
41,"[18, 24]","[6, 4, 18]",4.4,14.915
42,"[28, 29]","[5, 3, 0]",6.6,18.485
43,"[29, 18]","[12, 3, 2]",19.3,20.135
44,"[14, 18]","[19, 4, 5]",9.2,16.786
45,[14],"[14, 18]",6.0,17.0
46,"[19, 18, 14]","[13, 3, 4, 16]",18.5,23.976
47,"[28, 19]","[2, 3, 12]",11.1,23.42
48,"[18, 19]","[4, 3, 7]",21.6,10.589
49,"[18, 14]","[5, 4, 17]",16.2,10.604
50,"[18, 24]","[6, 4, 19]",7.6,15.152
51,[29],"[10, 0]",6.0,19.426
52,[14],"[4, 16]",2.0,3.728
53,"[24, 28]","[16, 4, 2]",21.7,10.651
54,-,-,-,-
55,[29],"[11, 10]",2.0,1.958
56,[19],"[13, 7]",22.4,23.82
57,"[29, 28]","[9, 3, 6]",4.0,13.324
58,-,-,-,-
59,"[28, 24]","[5, 4, 19]",4.7,14.945
60,[28],"[5, 2]",11.7,12.632
61,"[14, 28, 19]","[18, 4, 3, 8]",24.4,16.615
62,[19],"[13, 9]",2.0,9.106
63,"[18, 24]","[2, 4, 16]",8.8,10.651
64,[19],"[8, 0]",2.0,12.481
65,[29],"[13, 8]",2.0,12.538
66,"[28, 19]","[4, 3, 11]",16.9,14.538
67,"[29, 18]","[10, 3, 2]",19.6,13.252
68,"[24, 28]","[15, 4, 5]",12.9,12.092
69,"[24, 28]","[15, 4, 1]",7.1,16.767
